row,date,attributes,values,brand
0,2021-04-12,bw_positive,5822,Nike
1,2021-04-11,bw_positive,5026,Nike
2,2021-04-10,bw_positive,10297,Nike
3,2021-04-09,bw_positive,4862,Nike
4,2021-04-08,bw_positive,5250,Nike
5,2021-04-07,bw_positive,5986,Nike
6,2021-04-06,bw_positive,9888,Nike
7,2021-04-05,bw_positive,4413,Nike
8,2021-04-04,bw_positive,3657,Nike
9,2021-04-03,bw_positive,3330,Nike
10,2021-04-02,bw_positive,6456,Nike
11,2021-04-01,bw_positive,3984,Nike
12,2021-03-31,bw_positive,4494,Nike
13,2021-03-30,bw_positive,5822,Nike
14,2021-03-29,bw_positive,9173,Nike
15,2021-03-28,bw_positive,12218,Nike
16,2021-03-27,bw_positive,5496,Nike
17,2021-03-26,bw_positive,6681,Nike
18,2021-03-25,bw_positive,6006,Nike
19,2021-03-24,bw_positive,3779,Nike
20,2021-03-23,bw_positive,3779,Nike
21,2021-03-22,bw_positive,4290,Nike
22,2021-03-21,bw_positive,7498,Nike
23,2021-03-20,bw_positive,3514,Nike
24,2021-03-19,bw_positive,3759,Nike
25,2021-03-18,bw_positive,3677,Nike
26,2021-03-17,bw_positive,4964,Nike
27,2021-03-16,bw_positive,5863,Nike
28,2021-03-15,bw_positive,5026,Nike
29,2021-03-14,bw_positive,4535,Nike
30,2021-03-13,bw_positive,4065,Nike
31,2021-03-12,bw_positive,3943,Nike
32,2021-03-11,bw_positive,5230,Nike
33,2021-03-10,bw_positive,4556,Nike
34,2021-03-09,bw_positive,3452,Nike
35,2021-03-08,bw_positive,3514,Nike
36,2021-03-07,bw_positive,3493,Nike
37,2021-03-06,bw_positive,4842,Nike
38,2021-03-05,bw_positive,4065,Nike
39,2021-03-04,bw_positive,10256,Nike
40,2021-03-03,bw_positive,3555,Nike
41,2021-03-02,bw_positive,6395,Nike
42,2021-03-01,bw_positive,4637,Nike
43,2021-02-28,bw_positive,5904,Nike
44,2021-02-27,bw_positive,3595,Nike
45,2021-02-26,bw_positive,2635,Nike
46,2021-02-25,bw_positive,3984,Nike
47,2021-02-24,bw_positive,3514,Nike
48,2021-02-23,bw_positive,3841,Nike
49,2021-02-22,bw_positive,3493,Nike
50,2021-02-21,bw_positive,5496,Nike
51,2021-02-20,bw_positive,14159,Nike
52,2021-02-19,bw_positive,3595,Nike
53,2021-02-18,bw_positive,3595,Nike
54,2021-02-17,bw_positive,3289,Nike
55,2021-02-16,bw_positive,3616,Nike
56,2021-02-15,bw_positive,3473,Nike
57,2021-02-14,bw_positive,4311,Nike
58,2021-02-13,bw_positive,3412,Nike
59,2021-02-12,bw_positive,4290,Nike
60,2021-02-11,bw_positive,4678,Nike
61,2021-02-10,bw_positive,3779,Nike
62,2021-02-09,bw_positive,4290,Nike
63,2021-02-08,bw_positive,3595,Nike
64,2021-02-07,bw_positive,3800,Nike
65,2021-02-06,bw_positive,4065,Nike
66,2021-02-05,bw_positive,3718,Nike
67,2021-02-04,bw_positive,6149,Nike
68,2021-02-03,bw_positive,6170,Nike
69,2021-02-02,bw_positive,14588,Nike
70,2021-02-01,bw_positive,20881,Nike
71,2021-01-31,bw_positive,4433,Nike
72,2021-01-30,bw_positive,5291,Nike
73,2021-01-29,bw_positive,5945,Nike
74,2021-01-28,bw_positive,3841,Nike
75,2021-01-27,bw_positive,4801,Nike
76,2021-01-26,bw_positive,3473,Nike
77,2021-01-25,bw_positive,3534,Nike
78,2021-01-24,bw_positive,2492,Nike
79,2021-01-23,bw_positive,3146,Nike
80,2021-01-22,bw_positive,3452,Nike
81,2021-01-21,bw_positive,4311,Nike
82,2021-01-20,bw_positive,3616,Nike
83,2021-01-19,bw_positive,4168,Nike
84,2021-01-18,bw_positive,3126,Nike
85,2021-01-17,bw_positive,2942,Nike
86,2021-01-16,bw_positive,3555,Nike
87,2021-01-15,bw_positive,3534,Nike
88,2021-01-14,bw_positive,4086,Nike
89,2021-01-13,bw_positive,5863,Nike
90,2021-01-12,bw_positive,3779,Nike
91,2021-01-11,bw_positive,2533,Nike
92,2021-01-10,bw_positive,2758,Nike
93,2021-01-09,bw_positive,3289,Nike
94,2021-01-08,bw_positive,3595,Nike
95,2021-01-07,bw_positive,3309,Nike
96,2021-01-06,bw_positive,3085,Nike
97,2021-01-05,bw_positive,3085,Nike
98,2021-01-04,bw_positive,2839,Nike
99,2021-01-03,bw_positive,2574,Nike
100,2021-01-02,bw_positive,2145,Nike
101,2021-01-01,bw_positive,2145,Nike
102,2020-12-31,bw_positive,3146,Nike
103,2020-12-30,bw_positive,3146,Nike
104,2020-12-29,bw_positive,3391,Nike
105,2020-12-28,bw_positive,3269,Nike
106,2020-12-27,bw_positive,2635,Nike
107,2020-12-26,bw_positive,2819,Nike
108,2020-12-25,bw_positive,3126,Nike
109,2020-12-24,bw_positive,6211,Nike
110,2020-12-23,bw_positive,3473,Nike
111,2020-12-22,bw_positive,3841,Nike
112,2020-12-21,bw_positive,2676,Nike
113,2020-12-20,bw_positive,2901,Nike
114,2020-12-19,bw_positive,3126,Nike
115,2020-12-18,bw_positive,3350,Nike
116,2020-12-17,bw_positive,3432,Nike
117,2020-12-16,bw_positive,3534,Nike
118,2020-12-15,bw_positive,3922,Nike
119,2020-12-14,bw_positive,2635,Nike
120,2020-12-13,bw_positive,5250,Nike
121,2020-12-12,bw_positive,5966,Nike
122,2020-12-11,bw_positive,3126,Nike
123,2020-12-10,bw_positive,2799,Nike
124,2020-12-09,bw_positive,4658,Nike
125,2020-12-08,bw_positive,3412,Nike
126,2020-12-07,bw_positive,4168,Nike
127,2020-12-06,bw_positive,3412,Nike
128,2020-12-05,bw_positive,2880,Nike
129,2020-12-04,bw_positive,3698,Nike
130,2020-12-03,bw_positive,3452,Nike
131,2020-12-02,bw_positive,3085,Nike
132,2020-12-01,bw_positive,3391,Nike
133,2020-11-30,bw_positive,4392,Nike
134,2020-11-29,bw_positive,2329,Nike
135,2020-11-28,bw_positive,3064,Nike
136,2020-11-27,bw_positive,3330,Nike
137,2020-11-26,bw_positive,3309,Nike
138,2020-11-25,bw_positive,3432,Nike
139,2020-11-24,bw_positive,4045,Nike
140,2020-11-23,bw_positive,3881,Nike
141,2020-11-22,bw_positive,2635,Nike
142,2020-11-21,bw_positive,2901,Nike
143,2020-11-20,bw_positive,4168,Nike
144,2020-11-19,bw_positive,4127,Nike
145,2020-11-18,bw_positive,4494,Nike
